CURSO MODELO EDUCATIVO 2023,CURSO,2024
CURSO: PERSPECTIVA DE GENERO EN EDUCACION SUPERIOR,CURSO,2022
CURSO: ESTRATEGIAS PARA EL DISEÑO DE EXPERIENCIAS DE APRENDIZAJE INCLUSIVAS ,CURSO,2022
curso Neurodiversidad y Diseño Universal para el Aprendizaje,CURSO,2023
CURSO: Estrategias de evaluación inclusivas para el aula universitaria,CURSO,2023
APRENDIZAJE BASADO EN LA INVESTIGACION,CURSO,2019
APRENDIZAJE BASADO EN PROBLEMAS,CURSO,2019
METODO DE PROYECTOS,CURSO,2019
CURSO METODO DE CASOS 1,CURSO,2020
CURSO METODO DE CASOS 2,CURSO,2021
CURSO: FLIPPED CLASSROOM Y ENTORNOS VIRTUALES DE APRENDIZAJE,CURSO,2021
Curso: Aprendizaje Basado en Problemas,CURSO,2023
CURSO: Aprendizaje basado en Proyectos,CURSO,2023
Investigación basada en casos,CURSO,2023
Investigación basada en encuestas,CURSO,2023
¿QUE SIGNIFICA ENSEÑAR Y EVALUAR POR LOGROS DE APRENDIZAJE?,CURSO,2019
CURSO: CONSTRUCCION DE RUBRICAS,CURSO,2019
CURSO: EVALUACIÓN DEL APRENDIZAJE EN LA UNIVERSIDAD,CURSO,2022
CURSO: LA EVALUACIÓN COMO GUÍA DEL APRENDIZAJE: ELABORACIÓN DE INSTRUMENTOS PARA LA EVALUACIÓN DE COMPETENCIAS,CURSO,2022
Diseño de instrumentos de evaluación tipo Prueba,CURSO,2023
DISEÑO INSTRUCCIONAL PARA AMBIENTES EMERGENTES DE APRENDIZAJE,CURSO,2020
DISEÑO CURRICULAR Y APRENDIZAJE BASADO EN COMPETENCIAS,CURSO,2021
DIPLOMA EN DOCENCIA UNIVERSITARIA,DIPLOMA,2020
DIPLOMA EN DOCENCIA UNIVERSITARIA,DIPLOMA,2021
ACOMPAÑAMIENTO DIPLOMA EN DOCENCIA UNIVERSITARIA,ACOMPAÑAMIENTO/ASESORIAS,2022
DIPLOMA EN DOCENCIA UNIVERSITARIA,DIPLOMA,2022
DIPLOMA EN INVESTIGACIÓN EN DOCENCIA UNIVERSITARIA,DIPLOMA,2019
CURSO: PUBLICACIÓN EN REVISTAS CIENTIFICAS INDEXADAS ,CURSO,2021
CURSO INVESTIGACIÓN EN DOCENCIA UNIVERSITARIA,CURSO,2022
CURSO: PUBLICACIÓN EN REVISTAS CIENTIFICAS INDEXADAS ,CURSO,2022
CURSO CONCEPTOS Y RECOMENDACIONES,CURSO,2023
CURSO INDAGANDO DESDE LA LITERATURA,CURSO,2023
CURSO SOLT: INVESTIGAR PARA TRANSFORMAR,CURSO,2023
DIPLOMA EN INVESTIGACIÓN EN DOCENCIA UNIVERSITARIA,DIPLOMA,2023
ACOMPAÑAMIENTO NID,ACOMPAÑAMIENTO/ASESORIAS,2021
FORMULACIÓN PROYECTO CONCURSO INNOVACIÓN PEDAGÓGICA,ACOMPAÑAMIENTO/ASESORIAS,2021
IMPLEMENTACIÓN PROYECTO INNOVACION PEDAGÓGICA,ACOMPAÑAMIENTO/ASESORIAS,2021
FORMULACIÓN PROYECTO CONCURSO INNOVACIÓN PEDAGÓGICA,ACOMPAÑAMIENTO/ASESORIAS,2022
FORMULACIÓN PROYECTO CONCURSO INVESTIGACIÓN FORMATIVA,ACOMPAÑAMIENTO/ASESORIAS,2022
IMPLEMENTACIÓN PROYECTO INNOVACION PEDAGÓGICA,ACOMPAÑAMIENTO/ASESORIAS,2022
IMPLEMENTACIÓN PROYECTO INVESTIGACION FORMATIVA,ACOMPAÑAMIENTO/ASESORIAS,2022
NUCLEOS DE INVESTIGACIÓN EN DOCENCIA UNIVERSITARIA ,ACOMPAÑAMIENTO/ASESORIAS,2022
FORMULACIÓN PROYECTO CONCURSO INNOVACIÓN PEDAGÓGICA,ACOMPAÑAMIENTO/ASESORIAS,2023
FORMULACIÓN PROYECTO CONCURSO INVESTIGACIÓN FORMATIVA,ACOMPAÑAMIENTO/ASESORIAS,2023
IMPLEMENTACIÓN PROYECTO INNOVACION PEDAGÓGICA,ACOMPAÑAMIENTO/ASESORIAS,2023
IMPLEMENTACIÓN PROYECTO INVESTIGACION FORMATIVA,ACOMPAÑAMIENTO/ASESORIAS,2023
Formulación Proyecto de Innovación Pedagógica,ACOMPAÑAMIENTO/ASESORIAS,2024
Proyecto de Innovación Pedagógica,ACOMPAÑAMIENTO/ASESORIAS,2024
Proyecto de Investigación Formativa,ACOMPAÑAMIENTO/ASESORIAS,2024
ACOMPAÑANAMIENTO A+S - CEA,ACOMPAÑAMIENTO/ASESORIAS,2022
1° Seminario Experiencias de Aprendizaje Servicio A + S,SEMINARIO,2023
Curso: Aprendizaje más Servicio,CURSO,2023
Implementación A+S,ACOMPAÑAMIENTO/ASESORIAS,2023
CURSO STEM,CURSO,2021
ACOMPAÑANAMIENTO STEM-CEA,ACOMPAÑAMIENTO/ASESORIAS,2022
"curso STEM Ciencia, Tecnología, Ingeniería y Matemática",CURSO,2023
Implementación STEAM,ACOMPAÑAMIENTO/ASESORIAS,2023
